product_id,product_name,category,sub_category,base_price,price,competitor_price,demand,rating,reviews,stock,season,discount,day_of_week
PROD_0001,Nikon D3500,Camera,Budget,32443,36279,31437,368,2.7,1574,387,Festive,10.2,Monday
PROD_0009,Sony Alpha ZV-E10,Camera,Mid,107159,115721,106729,382,4.1,1587,375,Normal,2,Sunday
PROD_0011,Sony Alpha ZV-E10,Camera,Mid,107159,114512,118501,295,3.6,897,470,Normal,10.3,Thursday
PROD_0020,Canon EOS M50 II,Camera,Mid,102117,109175,94682,429,4.5,1267,461,Festive,4.6,Saturday
PROD_0029,Nikon D3500,Camera,Budget,32443,36336,32846,426,3.6,2134,308,Festive,10,Sunday
PROD_0030,Nikon D3500,Camera,Budget,32443,35051,31741,374,3.4,1520,353,Normal,0,Tuesday
PROD_0031,Canon EOS M50 II,Camera,Mid,102117,114371,104479,423,3.7,1407,410,Festive,7.6,Thursday
PROD_0036,Nikon D3500,Camera,Budget,32443,35426,32759,425,3.9,2288,198,Normal,5.5,Monday
PROD_0037,Sony Alpha ZV-E10,Camera,Mid,107159,114370,116727,284,3.6,1027,480,Normal,0,Saturday
PROD_0043,Sony Alpha A7 IV,Camera,Premium,175511,196392,174499,445,3.5,442,488,Festive,13,Monday
PROD_0050,Sony Alpha ZV-E10,Camera,Mid,107159,119000,107790,374,3.5,1126,551,Festive,15.6,Wednesday
PROD_0060,Canon EOS M50 II,Camera,Mid,102117,110488,112316,353,4.1,1798,290,Normal,3.2,Thursday
PROD_0063,Sony Alpha ZV-E10,Camera,Mid,107159,114901,108526,352,4,1210,483,Normal,0,Thursday
PROD_0065,Sony Alpha ZV-E10,Camera,Mid,107159,111024,99016,327,3.7,1353,169,Normal,4.3,Friday
PROD_0070,Nikon D3500,Camera,Budget,32443,36336,35212,453,3.4,2772,416,Festive,11.8,Saturday
PROD_0076,Nikon D3500,Camera,Budget,32443,34847,35367,370,3.3,2002,473,Normal,0.6,Tuesday
PROD_0081,Sony Alpha ZV-E10,Camera,Mid,107159,114842,118829,276,3.3,898,380,Normal,1.6,Wednesday
PROD_0086,Nikon D3500,Camera,Budget,32443,35868,30875,445,3.8,2345,756,Festive,10.4,Saturday
PROD_0087,Sony Alpha A7 IV,Camera,Premium,175511,182777,158245,428,4.3,532,214,Normal,2.9,Saturday
PROD_0094,Canon EOS M50 II,Camera,Mid,102117,110447,97522,339,3.6,1104,277,Normal,2.9,Tuesday
PROD_0097,Sony Alpha A7 IV,Camera,Premium,175511,187160,158455,407,3.8,343,483,Festive,15.1,Monday
PROD_0103,Nikon D3500,Camera,Budget,32443,36095,31079,395,3.1,1823,541,Festive,14,Saturday
PROD_0104,Canon EOS 1500D,Camera,Budget,45357,48747,47738,272,3.1,2077,313,Normal,0,Monday
PROD_0105,Sony Alpha A7 IV,Camera,Premium,175511,188630,174934,328,4,50,397,Normal,2.1,Friday
PROD_0107,Canon EOS M50 II,Camera,Mid,102117,109089,102347,397,4.1,1243,630,Normal,1.9,Saturday
PROD_0125,Canon EOS M50 II,Camera,Mid,102117,104179,91569,326,4.2,924,485,Normal,3.7,Sunday
PROD_0126,Sony Alpha A7 IV,Camera,Premium,175511,193430,190275,434,4.3,1175,9,Normal,0,Tuesday
PROD_0131,Sony Alpha A7 IV,Camera,Premium,175511,196572,179679,466,4.3,50,338,Festive,16.9,Friday
PROD_0148,Sony Alpha A7 IV,Camera,Premium,175511,187480,188249,414,4.2,764,657,Normal,4.9,Saturday
PROD_0151,Canon EOS 1500D,Camera,Budget,45357,48970,47995,303,3,2075,261,Normal,0,Wednesday
PROD_0152,Sony Alpha A7 IV,Camera,Premium,175511,187287,163021,440,4.1,458,518,Festive,8.8,Tuesday
PROD_0154,Sony Alpha A7 IV,Camera,Premium,175511,189117,194428,327,3.6,483,340,Normal,0,Tuesday
PROD_0163,Nikon D3500,Camera,Budget,32443,34820,32771,323,3.3,1928,419,Normal,5.9,Sunday
PROD_0167,Sony Alpha A7 IV,Camera,Premium,175511,181465,160293,383,3.8,1122,296,Normal,1.5,Saturday
PROD_0175,Canon EOS 1500D,Camera,Budget,45357,46987,40219,346,3.7,2517,200,Normal,2.5,Monday
PROD_0177,Canon EOS 1500D,Camera,Budget,45357,48403,44149,353,3.1,2757,586,Normal,1.1,Wednesday
PROD_0189,Sony Alpha ZV-E10,Camera,Mid,107159,115035,103398,346,4.8,680,449,Normal,3.2,Tuesday
PROD_0198,Sony Alpha ZV-E10,Camera,Mid,107159,115704,116625,292,4,692,243,Normal,0.5,Friday
PROD_0205,Canon EOS 1500D,Camera,Budget,45357,46452,40743,352,3.6,2326,445,Normal,0,Tuesday
PROD_0207,Canon EOS M50 II,Camera,Mid,102117,113998,99398,430,3.8,1451,518,Festive,10.1,Monday
PROD_0209,Nikon D3500,Camera,Budget,32443,33529,30138,376,3.3,1921,294,Normal,3.5,Sunday
PROD_0211,Sony Alpha A7 IV,Camera,Premium,175511,187064,183354,317,3.5,50,559,Normal,0.4,Tuesday
PROD_0222,Canon EOS 1500D,Camera,Budget,45357,50000,44928,351,3.4,1862,496,Festive,10.5,Friday
PROD_0239,Nikon D3500,Camera,Budget,32443,33607,28752,390,3.4,2114,267,Normal,1.3,Thursday
PROD_0250,Canon EOS 1500D,Camera,Budget,45357,46620,40442,300,3.3,1506,293,Normal,6.3,Tuesday
PROD_0251,Sony Alpha ZV-E10,Camera,Mid,107159,116749,119347,260,3.7,663,0,Normal,3.4,Saturday
PROD_0255,Sony Alpha A7 IV,Camera,Premium,175511,196572,180859,469,4.9,50,209,Festive,13.1,Monday
PROD_0260,Canon EOS 1500D,Camera,Budget,45357,46579,40546,352,3.8,2234,389,Normal,2.7,Sunday
PROD_0261,Sony Alpha A7 IV,Camera,Premium,175511,189845,185178,433,5,196,416,Normal,2.6,Tuesday
PROD_0265,Nikon D3500,Camera,Budget,32443,34674,29359,437,3.5,2178,480,Festive,14.8,Wednesday
